phase,owner_id,round,model_started_at,model_ended_at,tool_started_at,tool_ended_at,elapsed_seconds,tool_count,tool_names,input,cache_read,output,reasoning,total,status,error
conversation,c_51da6420efb944b697446115056ea140,1,,,,,8.891,0,,1216,256,531,361,2003,completed,
conversation,c_b59f6827129d4564996c721b3863b4c6,1,,,,,5.45,0,,552,1920,414,201,2886,completed,
conversation,c_9687723cf01047d68fe863f4c3ca9761,1,,,,,7.506,0,,545,2816,604,429,3965,completed,
conversation,c_2a29c3999ff14c22aabf0de63161889d,1,,,,,3.244,0,,600,3840,87,23,4527,completed,
conversation,c_e6c4981aa64b463690817c5ce86ad915,1,,,2026-09-09T16:13:26.470669Z,2026-09-09T16:13:26.488017Z,10.98,1,propose_business,561,4480,883,626,5924,completed,
conversation,c_e6c4981aa64b463690817c5ce86ad915,2,,,,,4.997,0,,223,5888,163,0,6274,completed,
conversation,c_0c07faaf15d34b5bb08b8513a35be8f0,1,,,,,4.107,0,,1173,6272,262,173,7707,completed,
conversation,c_a620bdd269094708849c01a804705177,1,,,,,7.525,0,,1198,7680,555,374,9433,completed,
conversation,c_6afdf7ccd3a4472c8a918d2523d1710f,1,,,,,10.952,0,,1263,9344,737,530,11344,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,1,,,2026-09-09T16:14:03.316157Z,2026-09-09T16:14:03.458748Z,5.416,3,list_odoo_capabilities|list_odoo_sops|mcp_odoo_health_check,3617,0,471,387,4088,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,2,,,2026-09-09T16:14:11.748670Z,2026-09-09T16:14:11.907175Z,8.211,3,configure_odoo_tools|get_odoo_sop|mcp_odoo_get_odoo_profile,1856,3968,917,730,6741,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,3,,,2026-09-09T16:14:16.854733Z,2026-09-09T16:14:17.076008Z,4.871,2,mcp_odoo_search_records,10642,0,418,150,11060,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,4,,,2026-09-09T16:14:24.602963Z,2026-09-09T16:14:24.753735Z,7.454,3,mcp_odoo_get_model_fields|mcp_odoo_read_record|mcp_odoo_search_records,292,11008,817,505,12117,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,5,,,2026-09-09T16:14:35.886778Z,2026-09-09T16:14:35.952158Z,11.03,2,mcp_odoo_get_model_fields|mcp_odoo_search_records,2153,12032,1069,845,15254,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,6,,,2026-09-09T16:14:50.897046Z,2026-09-09T16:14:51.068371Z,14.841,3,mcp_odoo_get_model_fields|mcp_odoo_search_records,286,15232,1696,1301,17214,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,7,,,2026-09-09T16:14:55.022241Z,2026-09-09T16:14:55.075392Z,3.883,1,mcp_odoo_search_records,176,17152,219,75,17547,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,8,,,2026-09-09T16:15:03.061206Z,2026-09-09T16:15:03.083893Z,7.904,1,mcp_odoo_search_records,134,17536,647,419,18317,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,9,,,2026-09-09T16:15:10.695132Z,2026-09-09T16:15:10.761405Z,7.545,2,get_current_time|mcp_odoo_search_records,144,18304,442,221,18890,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,10,,,2026-09-09T16:15:14.061034Z,2026-09-09T16:15:14.115643Z,3.273,1,mcp_odoo_search_records,201,18816,179,24,19196,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,11,,,2026-09-09T16:15:21.150716Z,2026-09-09T16:15:21.174191Z,6.963,1,mcp_odoo_preview_write,234,19072,657,460,19963,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,12,,,2026-09-09T16:15:32.130626Z,2026-09-09T16:15:32.164625Z,10.888,1,mcp_odoo_validate_write,384,19840,172,12,20396,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,13,,,2026-09-09T16:15:36.733476Z,2026-09-09T16:15:36.776544Z,4.475,1,mcp_odoo_validate_write,328,20352,246,72,20926,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,14,,,,,127.277,0,,,,,,,error,provider_unavailable
business,r_0c9506a289664732ad9d8931082ed4ce,15,,,2026-09-09T16:20:47.145147Z,2026-09-09T16:20:47.437032Z,5.845,1,mcp_odoo_execute_approved_write,566,20864,293,49,21723,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,16,,,2026-09-09T16:20:53.755594Z,2026-09-09T16:20:53.846689Z,6.241,2,mcp_odoo_search_records,183,21632,367,29,22182,completed,
business,r_0c9506a289664732ad9d8931082ed4ce,17,,,,,12.895,0,,322,22144,529,153,22995,completed,
