round,timestamp,model,stop_reason,usage_known,input_fresh,input_cached,input_cache_write,output,reasoning,duration_ms,tool_count,tool_errors,schema_count,tool_names,business_results,errors
1,2026-09-08T07:42:54.381678+00:00,deepseek/deepseek-v4-flash,toolUse,True,68,3200,0,166,95,4282,3,0,14,"[""list_odoo_sops"", ""mcp_odoo_health_check"", ""list_odoo_capabilities""]","[""success; sops=11"", ""success; result=record"", ""success; capabilities=10""]",[]
2,2026-09-08T07:42:59.823516+00:00,deepseek/deepseek-v4-flash,toolUse,True,1835,3328,0,521,404,5309,2,0,14,"[""configure_odoo_tools"", ""get_odoo_sop""]","[""configured; active=actions"", ""success; result=record""]",[]
3,2026-09-08T07:43:04.435303+00:00,deepseek/deepseek-v4-flash,toolUse,True,6903,768,0,238,44,4531,3,0,19,"[""mcp_odoo_get_odoo_profile"", ""mcp_odoo_search_records"", ""mcp_odoo_search_records""]","[""success; result=record"", ""success; records=1 (Nimbus Bureau)"", ""success; records=1 (Open-Plan Noise Barrier Wall)""]",[]
4,2026-09-08T07:43:10.543603+00:00,deepseek/deepseek-v4-flash,toolUse,True,2804,7552,0,512,312,5884,2,0,19,"[""mcp_odoo_read_record"", ""mcp_odoo_get_model_fields""]","[""success; result=record"", ""success; fields=4""]",[]
5,2026-09-08T07:43:15.287238+00:00,deepseek/deepseek-v4-flash,toolUse,True,390,10752,0,442,216,4634,2,1,19,"[""mcp_odoo_read_record"", ""mcp_odoo_get_model_fields""]","[""success; fields=181""]","[{""tool"": ""mcp_odoo_read_record"", ""call_id"": ""call_00_v47T5h6dqbaZUuJAYrS34326"", ""model"": ""product.template"", ""record_id"": 2, ""error"": true, ""summary"": ""JSON-2 request product.template.read failed with HTTP 500: Invalid field 'detailed_type' on 'product.template'""}]"
6,2026-09-08T07:43:25.682077+00:00,deepseek/deepseek-v4-flash,toolUse,True,14961,11520,0,1171,915,10216,3,0,19,"[""mcp_odoo_read_record"", ""mcp_odoo_search_records"", ""get_current_time""]","[""success; result=record"", ""success; records=10 (Immediate Payment, 15 Days, 21 Days)"", ""success; result=record""]",[]
7,2026-09-08T07:43:51.603372+00:00,deepseek/deepseek-v4-flash,toolUse,True,1732,26368,0,2930,2581,25726,3,0,19,"[""mcp_odoo_search_records"", ""mcp_odoo_search_records"", ""mcp_odoo_get_model_fields""]","[""success; records=1 (Nimbus Bureau)"", ""success; records=1 (Open-Plan Noise Barrier Wall)"", ""success; fields=10""]",[]
8,2026-09-08T07:44:05.835867+00:00,deepseek/deepseek-v4-flash,toolUse,True,687,30976,0,1310,1049,14031,2,0,19,"[""mcp_odoo_read_record"", ""mcp_odoo_get_model_fields""]","[""success; result=record"", ""success; fields=7""]",[]
9,2026-09-08T07:44:16.898954+00:00,deepseek/deepseek-v4-flash,toolUse,True,440,32896,0,1099,899,10921,1,0,19,"[""mcp_odoo_preview_write""]","[""success; result=record""]",[]
10,2026-09-08T07:44:20.738579+00:00,deepseek/deepseek-v4-flash,toolUse,True,320,34432,0,220,31,3788,1,1,19,"[""mcp_odoo_validate_write""]",[],"[{""tool"": ""mcp_odoo_validate_write"", ""call_id"": ""call_00_97Auvq4JEp6D04TSKM6F4793"", ""model"": ""sale.order"", ""operation"": ""create"", ""error"": true, ""summary"": ""success=false""}]"
11,2026-09-08T07:44:25.149681+00:00,deepseek/deepseek-v4-flash,toolUse,True,316,34944,0,304,106,4353,1,0,19,"[""mcp_odoo_validate_write""]","[""success; result=record""]",[]
12,2026-09-08T07:44:29.925013+00:00,deepseek/deepseek-v4-flash,toolUse,True,579,35456,0,410,115,4712,1,1,19,"[""mcp_odoo_execute_approved_write""]",[],"[{""tool"": ""mcp_odoo_execute_approved_write"", ""call_id"": ""call_00_SafEMSIBVqwEHKUydrP82249"", ""error"": true, ""summary"": ""JSON-2 request sale.order.create failed with HTTP 500: time data '2026-09-30T12:00:00' does not match format '%Y-%m-%d %H:%M:%S'""}]"
