arm,round,phase,model_s,tools,tool_names,fresh,cache_read,cache_write,output,reasoning,total,usage_complete,error
baseline,1,start,3.585,3,list_odoo_sops|list_odoo_capabilities|get_current_time,3076,0,0,200,129,3276,True,
baseline,2,start,5.085,2,get_odoo_sop|configure_odoo_tools,1456,3200,0,315,204,4971,True,
baseline,3,start,5.013,4,mcp_odoo_search_records|mcp_odoo_search_records|mcp_odoo_search_records|mcp_odoo_list_instances,4728,2176,0,495,77,7399,True,
baseline,4,start,6.306,3,mcp_odoo_get_model_fields|mcp_odoo_get_model_fields|mcp_odoo_search_records,588,7296,0,667,211,8551,True,
baseline,5,start,6.488,4,mcp_odoo_search_records|mcp_odoo_search_records|mcp_odoo_search_records|mcp_odoo_search_records,1452,8448,0,767,324,10667,True,
baseline,6,start,5.175,2,mcp_odoo_search_records|mcp_odoo_search_records,284,10624,0,583,305,11491,True,
baseline,7,start,6.29,1,mcp_odoo_get_model_fields,356,11392,0,645,564,12393,True,
baseline,8,start,5.602,2,mcp_odoo_preview_write|mcp_odoo_validate_write,1691,12288,0,879,537,14858,True,
baseline,9,resume,4.666,1,mcp_odoo_search_records,8965,4352,0,292,135,13609,True,
baseline,10,resume,4.903,1,mcp_odoo_execute_approved_write,228,13440,0,214,8,13882,True,
baseline,11,resume,3.438,1,mcp_odoo_execute_approved_write,226,13696,0,340,104,14262,True,
baseline,12,resume,3.068,1,mcp_odoo_read_record,149,14208,0,157,20,14514,True,
baseline,13,resume,4.398,1,mcp_odoo_read_record,225,14464,0,126,0,14815,True,
baseline,14,resume,4.304,0,,272,14720,0,358,40,15350,True,
candidate,1,start,2.798,3,list_odoo_capabilities|list_odoo_sops|get_current_time,1972,1152,0,160,90,3284,True,
candidate,2,start,3.422,2,get_odoo_sop|configure_odoo_tools,1464,3200,0,184,58,4848,True,
candidate,3,start,4.829,3,mcp_odoo_search_records|mcp_odoo_search_records|mcp_odoo_search_records,4694,2176,0,393,53,7263,True,
candidate,4,start,4.98,3,mcp_odoo_get_model_fields|mcp_odoo_get_model_fields|mcp_odoo_search_records,444,7168,0,596,356,8208,True,
candidate,5,start,5.823,2,mcp_odoo_search_records|mcp_odoo_read_record,2107,8192,0,608,438,10907,True,
candidate,6,start,4.165,2,mcp_odoo_preview_write|mcp_odoo_validate_write,257,10752,0,450,210,11459,True,
candidate,7,resume,5.616,1,mcp_odoo_search_records,6489,4480,0,215,99,11184,True,
candidate,8,resume,4.898,1,mcp_odoo_execute_approved_write,235,11008,0,275,44,11518,True,
candidate,9,resume,2.999,2,mcp_odoo_read_record|mcp_odoo_search_records,221,11392,0,273,29,11886,True,
candidate,10,resume,5.932,0,,415,11776,0,341,0,12532,True,
